V,I
0.6581,0.00112301
0.6582,0.00112736
0.6583,0.00113173
0.6584,0.00113611
0.6585,0.00114051
0.6586,0.00114493
0.6587,0.00114937
0.6588,0.00115382
0.6589,0.00115829
0.659,0.00116278
0.6591,0.00116728
0.6592,0.0011718
0.6593,0.00117634
0.6594,0.0011809
0.6595,0.00118547
0.6596,0.00119007
0.6597,0.00119468
0.6598,0.0011993
0.6599,0.00120395
0.66,0.00120861
0.6601,0.0012133
0.6602,0.001218
0.6603,0.00122271
0.6604,0.00122745
0.6605,0.00123221
0.6606,0.00123698
0.6607,0.00124177
0.6608,0.00124658
0.6609,0.00125141
0.661,0.00125626
0.6611,0.00126113
0.6612,0.00126601
0.6613,0.00127092
0.6614,0.00127584
0.6615,0.00128078
0.6616,0.00128574
0.6617,0.00129072
0.6618,0.00129572
0.6619,0.00130074
0.662,0.00130578
0.6621,0.00131084
0.6622,0.00131592
0.6623,0.00132102
0.6624,0.00132613
0.6625,0.00133127
0.6626,0.00133643
0.6627,0.0013416
0.6628,0.0013468
0.6629,0.00135202
0.663,0.00135726
0.6631,0.00136251
0.6632,0.00136779
0.6633,0.00137309
0.6634,0.00137841
0.6635,0.00138375
0.6636,0.00138911
0.6637,0.00139449
0.6638,0.00139989
0.6639,0.00140532
0.664,0.00141076
0.6641,0.00141623
0.6642,0.00142171
0.6643,0.00142722
0.6644,0.00143275
0.6645,0.0014383
0.6646,0.00144387
0.6647,0.00144946
0.6648,0.00145508
0.6649,0.00146071
0.665,0.00146637
0.6651,0.00147205
0.6652,0.00147776
0.6653,0.00148348
0.6654,0.00148923
0.6655,0.001495
0.6656,0.00150079
0.6657,0.0015066
0.6658,0.00151244
0.6659,0.0015183
0.666,0.00152418
0.6661,0.00153008
0.6662,0.00153601
0.6663,0.00154196
0.6664,0.00154793
0.6665,0.00155393
0.6666,0.00155995
0.6667,0.00156599
0.6668,0.00157206
0.6669,0.00157815
0.667,0.00158426
0.6671,0.0015904
0.6672,0.00159656
0.6673,0.00160275
0.6674,0.00160895
0.6675,0.00161519
0.6676,0.00162144
0.6677,0.00162773
0.6678,0.00163403
0.6679,0.00164036
0.668,0.00164672
0.6681,0.00165309
0.6682,0.0016595
0.6683,0.00166593
0.6684,0.00167238
0.6685,0.00167886
0.6686,0.00168536
0.6687,0.00169189
